areasAmountPer100k,sportsAmountPer100k,areasSquarePer100k,subwayDistance,pollutedPointsPercentage,result
0,175.0,8.0,188592.52325926322,7772.884830086612,0.851346593493203,0.0
1,380.0,239.0,798286.0774425955,2788.580387984264,0.591659326139629,1.0
2,352.0,431.0,1467138.4403216734,3735.5268379348886,0.4870971563286609,0.0
3,156.0,26.0,171854.41444666457,9061.769744136469,0.6064523340835665,0.0
4,344.0,56.0,769443.5628630292,1310.3973454652084,0.18834112232718295,1.0
5,59.0,465.0,405065.04293718777,784.4711930130037,0.22605006201952693,0.0
6,108.0,10.0,36720.830034101775,7477.521170973887,0.9395536893463429,0.0
7,398.0,384.0,614518.4288172942,2228.142714510913,0.5573481051520013,1.0
8,196.0,68.0,234540.48835082437,1327.0230803120944,0.43493168406179983,0.0
9,85.0,40.0,239939.26704112987,7340.510490586338,0.7534622015200448,0.0
10,473.0,193.0,960479.7878303193,328.5178423438106,0.052187435975188774,1.0
11,367.0,168.0,177689.38506284732,309.92694592116885,0.9275142462314391,0.0
12,64.0,23.0,263239.3924845074,5858.5531998906545,0.8139558203794343,0.0
13,326.0,54.0,1374685.8725985005,4667.436637080601,0.04446084686755731,1.0
14,218.0,430.0,1436590.5712237405,6247.556777337455,0.37330325881659143,0.0
15,86.0,34.0,41891.67252637065,5364.078347841976,0.7703112036670334,0.0
16,441.0,457.0,727484.9690166179,1911.9607904904135,0.11108387963523936,1.0
17,262.0,166.0,985517.4021825612,6395.808203911069,0.2014564564849507,0.0
18,144.0,25.0,200397.6407717262,7463.933960849321,0.6994173114307435,0.0
19,577.0,181.0,1334702.2813758461,2389.529165084235,0.5051899518836866,1.0
20,227.0,493.0,1148593.2349870058,3151.296990855415,0.7692379337974792,0.0
21,163.0,9.0,189736.06508774727,8469.304790205233,0.8977711955820031,0.0
22,347.0,96.0,564945.6375386657,404.15314484531285,0.2487704860660154,1.0
23,482.0,192.0,562969.5502801454,7891.953498623376,0.30169309881838835,0.0
24,170.0,26.0,207443.40022195474,8780.403778889167,0.7324129422310054,0.0
25,542.0,162.0,518829.0655889921,3281.2669127630224,0.4996620000635752,1.0
26,112.0,38.0,565666.8162023299,1999.6585085972756,0.11565085967918387,0.0
27,163.0,29.0,7216.45229195897,6254.105282241651,0.7163828117238992,0.0
28,429.0,486.0,902727.0586659143,2649.449964050346,0.36461717160603324,1.0
29,14.0,117.0,84500.23596041772,7035.499670587106,0.8766925022709571,0.0
30,148.0,38.0,157344.1961300165,8889.627880329619,0.770719659512376,0.0
31,458.0,362.0,840716.3298165746,1352.655228999534,0.5313196979765306,1.0
32,225.0,474.0,448785.1222476877,4484.245612219577,0.8060866076797104,0.0
33,14.0,36.0,141724.10552375618,9278.736145651941,0.700026293780678,0.0
34,591.0,162.0,936404.0399767357,276.6443837735272,0.25835907081257986,1.0
35,307.0,251.0,684287.5790877907,7343.3761702485535,0.6850840775054177,0.0
36,21.0,26.0,254442.88892327674,9345.097275582008,0.9236526279132126,0.0
37,504.0,163.0,1362500.4081010255,2916.7055583920137,0.30175480389792664,1.0
38,327.0,407.0,1309870.1660262402,1707.1496704319413,0.7825574488414979,0.0
39,17.0,48.0,173185.46880780288,6557.073002977642,0.6388248832114455,0.0
40,361.0,272.0,1196213.4429496967,3216.5991137357196,0.033494563232458203,1.0
41,477.0,130.0,371459.9369345664,4832.687254066482,0.020361935885714777,0.0
42,154.0,18.0,86243.5696677106,9566.200129089499,0.814356791720438,0.0
43,454.0,470.0,591497.2287567642,2068.348904014049,0.06380512678891023,1.0
44,75.0,467.0,1268237.777625124,556.3226026785406,0.2613245462996485,0.0
45,107.0,39.0,121445.2757530297,9100.870198246903,0.6167408713657568,0.0
46,440.0,385.0,623025.6282030016,3787.6404434546725,0.39304199709208876,1.0
47,26.0,51.0,1029046.6467742649,1226.8714297687682,0.9875278817059729,0.0
48,177.0,35.0,202844.40964277368,7686.834480838848,0.6151318571940206,0.0
49,417.0,443.0,1262261.165820298,4855.9626850169025,0.5651861213742126,1.0
50,52.0,161.0,755672.8433839949,6206.819957686562,0.3070867222810425,0.0
